task_completion_ratio,total_priority_reward,constraint_violation_count,battery_utilisation,storage_utilisation,completed_tasks,pending_tasks,episode_reward,method,run
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,1
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,2
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,3
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,4
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,5
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,6
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,7
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,8
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,9
0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,8.0,0.0,225.183,DQN,10
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,1
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,2
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,3
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,4
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,5
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,6
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,7
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,8
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,9
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,FCFS,10
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,1
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,2
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,3
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,4
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,5
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,6
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,7
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,8
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,9
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,HighestPriority,10
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,1
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,2
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,3
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,4
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,5
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,6
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,7
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,8
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,9
0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,12.0,0.0,500.9853,EarliestDeadline,10
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,1
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,2
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,3
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,4
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,5
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,6
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,7
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,8
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,9
0.2,523.25,0.0,0.906117647058823,0.2868888888888889,12.0,0.0,501.04529999999994,GreedyScore,10
