method,task_id,start_time,end_time,priority,reward_value,battery_after,storage_after
DQN,12,47,52,5,70.05,72.67,12.18
DQN,53,67,68,5,66.34,59.36,23.53
DQN,31,72,73,5,59.03,53.37,38.73
DQN,46,75,76,1,15.72,45.85,5.53
DQN,29,79,81,2,30.67,37.68,10.27
DQN,10,81,83,2,30.17,25.58,15.93
DQN,54,83,89,2,24.23,8.41,28.95
DQN,5,89,91,1,14.05,2.77,34.16
FCFS,28,7,12,5,59.12,71.22,12.1
FCFS,39,20,22,5,69.35,62.9,12.84
FCFS,43,26,27,2,35.77,60.85,8.15
FCFS,27,27,31,5,66.11,42.64,12.84
FCFS,34,31,33,3,36.85,28.07,22.7
FCFS,12,33,38,5,70.05,16.94,34.88
FCFS,21,38,40,3,45.3,8.79,44.05
FCFS,44,49,52,4,48.66,10.95,10.24
FCFS,48,53,57,2,28.19,3.34,25.05
FCFS,55,62,68,2,25.84,2.79,32.31
FCFS,46,74,75,1,15.72,0.07,37.84
FCFS,33,85,91,1,22.29,3.18,12.91
HighestPriority,28,7,12,5,59.12,71.22,12.1
HighestPriority,39,20,22,5,69.35,62.9,12.84
HighestPriority,43,26,27,2,35.77,60.85,8.15
HighestPriority,27,27,31,5,66.11,42.64,12.84
HighestPriority,34,31,33,3,36.85,28.07,22.7
HighestPriority,12,33,38,5,70.05,16.94,34.88
HighestPriority,21,38,40,3,45.3,8.79,44.05
HighestPriority,44,49,52,4,48.66,10.95,10.24
HighestPriority,48,53,57,2,28.19,3.34,25.05
HighestPriority,55,62,68,2,25.84,2.79,32.31
HighestPriority,46,74,75,1,15.72,0.07,37.84
HighestPriority,33,85,91,1,22.29,3.18,12.91
EarliestDeadline,28,7,12,5,59.12,71.22,12.1
EarliestDeadline,39,20,22,5,69.35,62.9,12.84
EarliestDeadline,43,26,27,2,35.77,60.85,8.15
EarliestDeadline,27,27,31,5,66.11,42.64,12.84
EarliestDeadline,34,31,33,3,36.85,28.07,22.7
EarliestDeadline,21,33,35,3,45.3,19.92,31.87
EarliestDeadline,12,35,40,5,70.05,8.79,44.05
EarliestDeadline,44,49,52,4,48.66,10.95,10.24
EarliestDeadline,48,53,57,2,28.19,3.34,25.05
EarliestDeadline,55,62,68,2,25.84,2.79,32.31
EarliestDeadline,46,74,75,1,15.72,0.07,37.84
EarliestDeadline,33,85,91,1,22.29,3.18,12.91
GreedyScore,28,7,12,5,59.12,71.22,12.1
GreedyScore,39,20,22,5,69.35,62.9,12.84
GreedyScore,43,26,27,2,35.77,60.85,8.15
GreedyScore,27,27,31,5,66.11,42.64,12.84
GreedyScore,34,31,33,3,36.85,28.07,22.7
GreedyScore,12,33,38,5,70.05,16.94,34.88
GreedyScore,21,38,40,3,45.3,8.79,44.05
GreedyScore,44,49,52,4,48.66,10.95,10.24
GreedyScore,48,53,57,2,28.19,3.34,25.05
GreedyScore,55,62,68,2,25.84,2.79,32.31
GreedyScore,46,74,75,1,15.72,0.07,37.84
GreedyScore,33,85,91,1,22.29,3.18,12.91
