task_id,window_start,window_end,duration,priority,energy_cost,storage_cost,reward_value
20,4,6,6,4,13.57,6.57,46.99
28,7,16,5,5,13.78,12.1,59.12
57,7,20,3,1,18.02,12.35,15.88
8,7,34,3,1,9.95,6.53,10.45
19,8,11,4,1,8.78,4.85,18.24
24,12,40,4,1,17.63,15.12,23.99
3,13,17,2,1,17.3,13.69,11.35
11,14,16,4,1,15.12,8.62,12.24
17,16,39,1,1,12.99,14.47,16.65
56,17,33,3,1,7.76,8.98,15.36
50,18,21,6,1,12.78,4.87,13.43
7,20,30,5,2,19.82,6.64,25.78
6,20,32,3,1,10.19,11.78,12.93
39,20,38,2,5,19.12,12.84,69.35
43,22,26,1,2,8.05,8.15,35.77
47,22,35,4,2,13.12,7.44,26.21
52,22,40,1,3,14.71,15.01,43.74
14,22,49,3,2,16.32,10.09,23.49
51,24,48,4,3,12.27,12.25,39.38
18,25,48,4,3,16.69,14.8,39.59
34,26,32,2,3,15.77,9.86,36.85
1,27,29,4,1,13.73,12.42,18.43
27,27,31,4,5,19.41,4.69,66.11
9,27,47,5,3,20.18,7.18,39.54
30,30,34,3,1,14.49,15.15,11.83
0,31,35,6,1,15.46,5.04,20.31
21,31,45,2,3,9.35,9.17,45.3
40,31,52,3,1,8.04,14.3,21.02
12,32,55,5,5,12.33,12.18,70.05
42,35,37,3,1,15.43,7.97,17.13
35,35,40,1,1,8.47,5.94,14.67
2,35,41,4,3,19.7,8.08,34.09
49,36,38,6,2,12.49,13.01,30.86
32,36,56,1,1,15.44,15.85,21.67
16,39,67,1,1,12.98,12.78,13.37
48,41,65,4,2,10.01,14.81,28.19
13,43,70,5,1,12.64,14.51,16.09
41,44,49,2,1,8.49,6.32,21.13
58,45,52,5,1,18.18,10.46,15.46
45,46,56,5,2,19.59,11.96,35.28
4,48,56,6,1,14.82,8.34,14.1
44,49,57,3,4,9.84,10.24,48.66
37,55,64,3,1,18.22,14.33,14.32
26,58,85,3,1,16.01,11.94,19.75
25,61,66,2,1,6.75,15.82,15.61
55,62,68,6,2,7.75,7.26,25.84
59,62,72,6,1,6.31,12.15,16.1
46,64,75,1,1,11.12,5.53,15.72
53,67,81,1,5,25.64,11.35,66.34
23,68,71,1,2,10.27,15.08,27.91
15,69,72,2,5,23.33,9.86,70.91
54,70,91,6,2,18.37,13.02,24.23
36,71,84,4,1,18.16,10.55,11.05
31,72,78,1,5,11.99,15.2,59.03
29,74,84,2,2,12.97,10.27,30.67
10,74,85,2,2,13.3,5.66,30.17
5,84,91,2,1,6.84,5.21,14.05
33,84,95,6,1,10.09,12.91,22.29
38,85,88,3,1,17.52,11.45,20.92
22,86,93,4,3,10.13,13.61,43.05
