episode,episode_reward,task_completion_ratio,constraint_violation_count,epsilon,avg_loss
1,498.1018,0.2,0.0,0.985,9.20533561706543
2,471.61710000000005,0.18333333333333332,0.0,0.970225,7.975551984679531
3,481.7324999999999,0.18333333333333332,0.0,0.955671625,3.7069996150334674
4,457.34989999999993,0.2,0.0,0.941336550625,1.4077264387886246
5,495.7821000000001,0.18333333333333332,0.0,0.927216502365625,1.2262955222811018
6,515.1868999999998,0.18333333333333332,0.0,0.9133082548301407,1.04639869192978
7,429.7231999999998,0.2,0.0,0.8996086310076885,0.8106511737888967
8,492.9709000000002,0.18333333333333332,0.0,0.8861145015425732,0.6480410395972971
9,477.0049999999998,0.18333333333333332,0.0,0.8728227840194346,0.6399516627192497
10,488.83600000000024,0.18333333333333332,0.0,0.8597304422591431,0.6689998655993905
11,518.3036999999999,0.18333333333333332,0.0,0.8468344856252559,34.071846061282685
12,535.2799999999997,0.2,0.0,0.834131968340877,5.9338030915864755
13,516.5228999999999,0.2,0.0,0.8216199888157638,3.6372072603795433
14,447.0126,0.2,0.0,0.8092956889835273,3.3064978969724557
15,523.1673999999999,0.18333333333333332,0.0,0.7971562536487744,3.4155763169409523
16,503.9612000000002,0.2,0.0,0.7851989098440427,3.065813390745057
17,422.6754000000002,0.16666666666666666,0.0,0.773420926196382,3.14611309238627
18,528.9311999999999,0.2,0.0,0.7618196123034363,3.1873061757692147
19,358.3531000000001,0.13333333333333333,0.0,0.7503923181188847,3.158445722178409
20,519.4172999999997,0.18333333333333332,0.0,0.7391364333471014,3.309227802860203
21,519.1110999999996,0.2,0.0,0.7280493868468949,24.39614363239236
22,483.50750000000033,0.18333333333333332,0.0,0.7171286460441915,5.028665582338969
23,502.0401000000001,0.2,0.0,0.7063717163535286,4.660225280573671
24,428.8005999999998,0.2,0.0,0.6957761406082257,4.437055649695458
25,456.96689999999984,0.18333333333333332,0.0,0.6853394984991023,4.690182359912727
26,513.0269,0.2,0.0,0.6750594060216157,4.464544355095207
27,502.29430000000013,0.2,0.0,0.6649335149312915,4.412436165128436
28,465.62300000000016,0.2,0.0,0.6549595122073221,4.308804392814636
29,490.30359999999996,0.18333333333333332,0.0,0.6451351195242122,4.2632587478585435
30,501.57370000000014,0.2,0.0,0.635458092731349,4.39990924781477
31,438.81220000000013,0.15,0.0,0.6259262213403788,19.77364489150374
32,488.95680000000016,0.18333333333333332,0.0,0.6165373280202731,6.340197832243783
33,449.95859999999993,0.18333333333333332,0.0,0.607289268099969,6.004467428707685
34,544.1105999999995,0.18333333333333332,0.0,0.5981799290784694,5.677443705813985
35,452.06939999999975,0.2,0.0,0.5892072301422924,6.155900958143635
36,489.40320000000014,0.18333333333333332,0.0,0.580369121690158,5.82474833215986
37,497.7253,0.2,0.0,0.5716635848648056,5.7487626222463755
38,412.36259999999993,0.18333333333333332,0.0,0.5630886310918335,6.217081057560908
39,502.16689999999994,0.2,0.0,0.554642301625456,6.42754821038582
40,442.8265999999998,0.16666666666666666,0.0,0.5463226671010741,5.760685447490577
41,450.41369999999995,0.18333333333333332,0.0,0.538127827094558,18.302942418340425
42,475.4026999999998,0.18333333333333332,0.0,0.5300559096881396,7.2190856747813035
43,360.5489000000001,0.15,0.0,0.5221050710428176,6.89739518664604
44,492.0872000000003,0.2,0.0,0.5142734949771753,7.006806701024374
45,530.7942999999997,0.2,0.0,0.5065593925525177,7.113888311386108
46,513.6462999999998,0.2,0.0,0.4989610016642299,6.7585535579257545
47,368.0476000000001,0.15,0.0,0.49147658663926647,6.663043370613685
48,499.69499999999994,0.2,0.0,0.48410443783967744,6.86327998978751
49,370.24870000000004,0.15,0.0,0.47684287127208225,6.742495368688535
50,526.9708999999998,0.18333333333333332,0.0,0.469690228203001,7.078396631611718
51,330.83950000000004,0.13333333333333333,0.0,0.462644874779956,15.855742962329419
52,489.42320000000007,0.18333333333333332,0.0,0.4557052016582566,8.029197829110283
53,447.00079999999986,0.16666666666666666,0.0,0.4488696236333828,8.011611120120898
54,471.0119,0.16666666666666666,0.0,0.44213657927888206,7.926152358820409
55,360.5489000000001,0.15,0.0,0.43550453058969885,7.687695641850317
56,235.56019999999984,0.1,0.0,0.42897196263085335,7.839988714172726
57,483.3101,0.2,0.0,0.42253738319139056,7.664357265955966
58,483.47009999999995,0.2,0.0,0.4161993224435197,7.572009267941327
59,411.4241999999998,0.16666666666666666,0.0,0.4099563326068669,7.6114187431335445
60,449.54689999999994,0.18333333333333332,0.0,0.4038069876177639,7.623364394903183
61,289.54539999999986,0.13333333333333333,0.0,0.39774988280349743,13.631958450589861
62,349.0257000000001,0.15,0.0,0.391783634561445,8.373465818517348
63,561.1592999999999,0.21666666666666667,0.0,0.3859068800430233,8.669120495659964
64,459.5908000000003,0.18333333333333332,0.0,0.380118276842378,8.363840474022759
65,484.2892999999999,0.2,0.0,0.3744165026897423,8.526416229875121
66,235.80019999999985,0.1,0.0,0.3688002551493962,8.769409026418414
67,499.5612999999999,0.2,0.0,0.36326825132215523,8.44369905386398
68,148.57159999999996,0.08333333333333333,0.0,0.3578192275523229,8.622205311601812
69,148.5316,0.08333333333333333,0.0,0.35245193913903805,8.308315244587986
70,332.9917999999999,0.13333333333333333,0.0,0.34716516005195247,8.478701891722503
71,274.67859999999996,0.1,0.0,0.34195768265117316,13.98415275941412
72,504.53609999999986,0.2,0.0,0.33682831741140556,9.106191300634128
73,368.83590000000004,0.13333333333333333,0.0,0.3317758926502345,8.854968908505562
74,437.03100000000023,0.15,0.0,0.32679925426048095,8.689086169412692
75,225.5785999999999,0.1,0.0,0.3218972654465737,9.222880881509663
76,229.48459999999983,0.1,0.0,0.3170688064648751,8.182060757348705
77,414.24749999999995,0.16666666666666666,0.0,0.312312774367902,8.738595288991927
78,148.5316,0.08333333333333333,0.0,0.30762808275238346,8.307411919940602
79,544.8997999999998,0.2,0.0,0.3030136615110977,9.36102649982159
80,148.57159999999996,0.08333333333333333,0.0,0.29846845658843124,8.497383990071036
81,315.83619999999996,0.13333333333333333,0.0,0.2939914297396048,12.43450052563737
82,443.9715000000001,0.16666666666666666,0.0,0.28958155829351073,9.742696298493279
83,355.5110000000002,0.15,0.0,0.2852378349191081,9.069898309586923
84,148.57159999999996,0.08333333333333333,0.0,0.28095926739532145,9.111197764223272
85,148.57159999999996,0.08333333333333333,0.0,0.2767448783843916,9.407656225291165
86,301.9109000000001,0.15,0.0,0.27259370520862575,9.223957344337746
87,483.33009999999996,0.2,0.0,0.26850479963049634,9.368929715223715
88,497.7453,0.2,0.0,0.26447722763603887,9.66381163230309
89,148.57159999999996,0.08333333333333333,0.0,0.2605100692214983,9.82606869394129
90,372.0908999999998,0.16666666666666666,0.0,0.2566024181831758,8.677643569547739
91,475.9558999999999,0.2,0.0,0.2527533819104282,13.169013885351328
92,453.4253999999999,0.2,0.0,0.24896208118177174,8.577106303638882
93,544.8597999999998,0.2,0.0,0.24522764996404517,8.812162824777456
94,345.8002000000001,0.13333333333333333,0.0,0.2415492352145845,9.395418747051343
95,509.1976999999997,0.18333333333333332,0.0,0.23792599668636571,9.709815433150844
96,499.495,0.2,0.0,0.23435710673607021,8.563698026112148
97,368.2076999999999,0.16666666666666666,0.0,0.23084175013502917,8.177718555226045
98,297.90439999999995,0.13333333333333333,0.0,0.22737912388300371,8.24770949045817
99,273.8913,0.13333333333333333,0.0,0.22396843702475866,9.864580319251543
100,458.30530000000005,0.2,0.0,0.22060891046938727,8.996993320575658
101,388.73419999999993,0.16666666666666666,0.0,0.21729977681234647,13.896884466146494
102,345.6802,0.13333333333333333,0.0,0.21404028016016127,8.46077433147946
103,319.72989999999993,0.13333333333333333,0.0,0.21082967595775884,8.775037677199752
104,468.15490000000005,0.18333333333333332,0.0,0.20766723081839245,8.917795761211499
105,345.84020000000004,0.13333333333333333,0.0,0.20455222235611656,9.96903405318389
106,342.6741000000002,0.13333333333333333,0.0,0.2014839390207748,8.989376997336363
107,421.5086999999999,0.16666666666666666,0.0,0.19846167993546318,8.629707527160644
108,345.56020000000007,0.13333333333333333,0.0,0.19548475473643123,8.593630159223402
109,382.4659,0.16666666666666666,0.0,0.19255248341538475,8.492965336087384
110,420.73189999999994,0.18333333333333332,0.0,0.18966419616415398,8.705278442330556
111,345.84020000000004,0.13333333333333333,0.0,0.18681923322169167,14.423702529958776
112,336.10540000000003,0.13333333333333333,0.0,0.1840169447233663,9.642495393753052
113,148.57159999999996,0.08333333333333333,0.0,0.1812566905525158,10.285224253481084
114,436.31780000000003,0.18333333333333332,0.0,0.17853784019422808,8.589273647828536
115,229.48459999999983,0.1,0.0,0.17585977259131466,11.014907238095306
116,148.5316,0.08333333333333333,0.0,0.17322187600244493,10.813544175841592
117,148.5316,0.08333333333333333,0.0,0.17062354786240824,9.288270229643041
118,320.72889999999995,0.15,0.0,0.16806419464447211,8.953305422465007
119,259.58490000000006,0.15,0.0,0.16554323172480503,9.50303543670268
120,345.84020000000004,0.13333333333333333,0.0,0.16306008324893295,9.433338500357962
121,148.57159999999996,0.08333333333333333,0.0,0.16061418200019895,13.232870443300767
122,148.57159999999996,0.08333333333333333,0.0,0.15820496927019595,10.226599687879736
123,165.5472,0.08333333333333333,0.0,0.155831894731143,10.677937995428326
124,165.50720000000004,0.08333333333333333,0.0,0.15349441631017585,9.474307948145373
125,302.07090000000005,0.15,0.0,0.15119200006552322,10.13386884736426
126,317.15339999999986,0.11666666666666667,0.0,0.14892412006454037,9.839610832493479
127,340.5337,0.15,0.0,0.14669025826357227,10.133497273049704
128,148.57159999999996,0.08333333333333333,0.0,0.14448990438961867,9.747432221065868
129,148.57159999999996,0.08333333333333333,0.0,0.1423225558237744,10.107760467312552
130,229.48459999999983,0.1,0.0,0.14018771748641778,10.439659894898881
131,148.57159999999996,0.08333333333333333,0.0,0.13808490172412152,16.28051140091636
132,271.11619999999994,0.1,0.0,0.1360136281982597,12.402771802175613
133,148.57159999999996,0.08333333333333333,0.0,0.13397342377528582,12.51130797104402
134,317.21339999999987,0.11666666666666667,0.0,0.13196382241865653,11.458768251465589
135,436.5090999999999,0.16666666666666666,0.0,0.12998436508237668,11.847733330726623
136,316.0762,0.13333333333333333,0.0,0.12803459960614103,11.303312295820655
137,443.9715000000001,0.16666666666666666,0.0,0.1261140806120489,11.203879204061296
138,436.4890999999998,0.16666666666666666,0.0,0.12422236940286817,10.662356817722321
139,441.6638999999999,0.16666666666666666,0.0,0.12235903386182514,11.2201566696167
140,148.5316,0.08333333333333333,0.0,0.12052364835389777,13.425163442438299
141,148.57159999999996,0.08333333333333333,0.0,0.1187157936285893,15.556346546519887
142,455.6868999999998,0.16666666666666666,0.0,0.11693505672416046,15.970546899523054
143,500.5864999999997,0.18333333333333332,0.0,0.11518103087329805,13.050949857204776
144,317.2533999999999,0.11666666666666667,0.0,0.11345331541019858,13.191889181369689
145,446.3389000000001,0.18333333333333332,0.0,0.11175151567904561,11.861574556920436
146,340.4598999999999,0.16666666666666666,0.0,0.11007524294385992,13.546389957527062
147,148.57159999999996,0.08333333333333333,0.0,0.10842411429970203,12.753763523968784
148,315.95619999999997,0.13333333333333333,0.0,0.1067977525852065,11.606002540123171
149,512.4804999999999,0.2,0.0,0.10519578629642841,12.07459527795965
150,525.0177999999999,0.2,0.0,0.10361784950198198,11.912593503793081
151,148.57159999999996,0.08333333333333333,0.0,0.10206358175945225,14.878686964511871
152,229.4445999999998,0.1,0.0,0.10053262803306047,13.57022211163543
153,315.95619999999997,0.13333333333333333,0.0,0.09902463861256457,12.906016623101584
154,421.5486999999999,0.16666666666666666,0.0,0.09753926903337609,13.609278458356858
155,493.61579999999975,0.18333333333333332,0.0,0.09607617999787545,14.106587515936958
156,340.7137,0.15,0.0,0.09463503729790732,12.861381240007354
157,345.6802,0.13333333333333333,0.0,0.0932155117384387,12.918759964607858
158,148.57159999999996,0.08333333333333333,0.0,0.09181727906236212,12.811576561494308
159,317.2533999999999,0.11666666666666667,0.0,0.09044001987642668,12.917649315624702
160,229.48459999999983,0.1,0.0,0.08908341957828028,12.455872391545496
161,148.4716,0.08333333333333333,0.0,0.08774716828460608,14.439061029390855
162,148.57159999999996,0.08333333333333333,0.0,0.08643096076033699,13.288835406303406
163,148.57159999999996,0.08333333333333333,0.0,0.08513449634893193,12.727377241308039
164,317.0933999999998,0.11666666666666667,0.0,0.08385747890369795,13.64752822969018
165,470.7348999999999,0.18333333333333332,0.0,0.08259961672014247,14.413452974955241
166,317.2533999999999,0.11666666666666667,0.0,0.08136062246934034,13.484468134438119
167,500.9853,0.2,0.0,0.08014021313230023,12.135664543738732
168,148.57159999999996,0.08333333333333333,0.0,0.07893810993531572,12.505742501128804
169,317.2533999999999,0.11666666666666667,0.0,0.07775403828628598,11.902658869580526
170,229.42459999999983,0.1,0.0,0.07658772771199168,12.454672281132188
171,313.8933999999999,0.11666666666666667,0.0,0.0754389117963118,14.793119988790373
172,421.9902999999998,0.16666666666666666,0.0,0.07430732811936713,13.834020161628723
173,229.48459999999983,0.1,0.0,0.07319271819757663,14.056617880976477
174,462.9798999999999,0.16666666666666666,0.0,0.07209482742461297,13.443569256709171
175,236.67820000000003,0.1,0.0,0.07101340501324377,13.89192924045381
176,235.80019999999985,0.1,0.0,0.06994820393804511,13.15146547839755
177,229.48459999999983,0.1,0.0,0.06889898087897443,13.318435303000516
178,148.57159999999996,0.08333333333333333,0.0,0.06786549616578981,12.918466784737326
179,148.5316,0.08333333333333333,0.0,0.06684751372330296,12.934733206575567
180,360.7089000000001,0.15,0.0,0.06584480101745341,13.240566730499268
181,148.5316,0.08333333333333333,0.0,0.06485712900219161,14.166148153218357
182,236.6382,0.1,0.0,0.06388427206715873,14.182915449142456
183,148.57159999999996,0.08333333333333333,0.0,0.06292600798615135,13.333463181148876
184,271.11619999999994,0.1,0.0,0.06198211786635908,12.691044007028852
185,236.67820000000003,0.1,0.0,0.06105238609836369,13.088185878027053
186,328.9378,0.11666666666666667,0.0,0.060136600306888235,15.010814637313654
187,545.0997999999998,0.2,0.0,0.05923455130228491,12.772858671041636
188,148.57159999999996,0.08333333333333333,0.0,0.058346033032750634,12.968805589459159
189,493.4557999999998,0.18333333333333332,0.0,0.05747084253725938,14.392494448909053
190,512.2696999999997,0.18333333333333332,0.0,0.05660877989920048,13.172843724489212
191,148.57159999999996,0.08333333333333333,0.0,0.055759648200712476,15.488147058270194
192,317.1933999999999,0.11666666666666667,0.0,0.054923253477701786,15.047767360035966
193,355.4910000000002,0.15,0.0,0.054099404675536256,13.749789545807657
194,236.67820000000003,0.1,0.0,0.05328791360540321,14.40318166641962
195,339.0004000000001,0.13333333333333333,0.0,0.05248859490132216,13.639247749425188
196,229.48459999999983,0.1,0.0,0.05170126597780233,15.918666845144228
197,148.57159999999996,0.08333333333333333,0.0,0.05092574698813529,15.722507747736843
198,443.77509999999984,0.16666666666666666,0.0,0.05016186078331326,17.44272344884738
199,454.5355000000002,0.18333333333333332,0.0,0.05,16.438082982416024
200,390.6939000000002,0.15,0.0,0.05,14.510815173764772
201,235.9382,0.1,0.0,0.05,13.652652036576043
202,501.20370000000014,0.2,0.0,0.05,13.81054769691668
203,484.61249999999995,0.18333333333333332,0.0,0.05,13.283611053075546
204,390.67390000000023,0.15,0.0,0.05,12.429033176808417
205,537.0165999999997,0.2,0.0,0.05,14.021979984115152
206,486.9696000000002,0.2,0.0,0.05,13.911880150819437
207,437.43520000000024,0.18333333333333332,0.0,0.05,15.308516529244436
208,399.6011000000002,0.16666666666666666,0.0,0.05,12.118534371822696
209,482.83009999999996,0.2,0.0,0.05,13.765029759474203
210,271.0762,0.1,0.0,0.05,11.188680643127078
211,410.6381000000002,0.16666666666666666,0.0,0.05,11.332681325765757
212,480.2357999999999,0.18333333333333332,0.0,0.05,11.29762845357259
213,487.0496000000002,0.2,0.0,0.05,11.78194039907211
214,386.1691000000001,0.15,0.0,0.05,11.570188473432491
215,351.26760000000013,0.15,0.0,0.05,11.53348353542859
216,504.0465999999999,0.18333333333333332,0.0,0.05,11.780858093584088
217,527.9424999999999,0.21666666666666667,0.0,0.05,11.694391475783455
218,524.6543,0.2,0.0,0.05,11.16572740184727
219,390.49390000000005,0.15,0.0,0.05,11.076872662652898
220,390.6339000000002,0.15,0.0,0.05,10.776094098634358
221,501.20370000000014,0.2,0.0,0.05,9.852145439700076
222,390.6939000000002,0.15,0.0,0.05,10.052366968951647
223,468.1707000000001,0.2,0.0,0.05,10.065126895904541
224,532.8310999999999,0.21666666666666667,0.0,0.05,10.142648113401313
225,475.7460000000001,0.2,0.0,0.05,10.051435650169076
226,509.50519999999995,0.2,0.0,0.05,9.488750643200344
227,508.2747,0.2,0.0,0.05,10.140370686848959
228,488.82330000000013,0.2,0.0,0.05,9.689745772968639
229,499.3659999999997,0.21666666666666667,0.0,0.05,10.046672337764019
230,481.88630000000006,0.2,0.0,0.05,10.30416120353498
231,435.0843999999999,0.18333333333333332,0.0,0.05,9.832450095518135
232,447.6832999999999,0.2,0.0,0.05,9.544091230557289
233,511.2866999999998,0.21666666666666667,0.0,0.05,9.28613500725733
234,560.2095999999999,0.21666666666666667,0.0,0.05,9.631251033983732
235,516.2565000000001,0.2,0.0,0.05,10.342027757074925
236,494.5990999999997,0.2,0.0,0.05,9.390984529103989
237,513.7046999999995,0.2,0.0,0.05,9.196895673677519
238,471.6405,0.2,0.0,0.05,9.005018026056424
239,528.1574999999997,0.21666666666666667,0.0,0.05,9.464993213352404
240,508.45470000000006,0.2,0.0,0.05,9.221122735585922
241,459.59349999999995,0.2,0.0,0.05,10.432283157110215
242,516.0365,0.2,0.0,0.05,9.44685864138913
243,516.1004999999998,0.2,0.0,0.05,9.21891194932601
244,541.1581999999995,0.2,0.0,0.05,8.930422872304916
245,507.82120000000003,0.2,0.0,0.05,9.55182847109708
246,517.0280999999998,0.2,0.0,0.05,9.245268767988177
247,511.8066999999998,0.21666666666666667,0.0,0.05,9.334021385401895
248,501.65949999999987,0.2,0.0,0.05,9.11017182469368
249,507.66120000000006,0.2,0.0,0.05,9.164517452190449
250,498.40669999999983,0.21666666666666667,0.0,0.05,9.136028787757777
251,478.9868,0.2,0.0,0.05,13.429270548992847
252,500.7583999999999,0.2,0.0,0.05,12.665198123618348
253,511.7066999999998,0.21666666666666667,0.0,0.05,9.785643355487144
254,487.5911999999999,0.2,0.0,0.05,9.610017129353114
255,466.9283999999999,0.18333333333333332,0.0,0.05,9.638145361191187
256,403.0242,0.18333333333333332,0.0,0.05,9.538552329653786
257,539.2035999999997,0.2,0.0,0.05,9.236462774411054
258,450.4643999999999,0.18333333333333332,0.0,0.05,9.871798475104642
259,544.9289999999997,0.2,0.0,0.05,9.252738746436867
260,544.9289999999997,0.2,0.0,0.05,9.878351488628903
261,511.75069999999965,0.2,0.0,0.05,12.07623627450731
262,480.9519999999998,0.21666666666666667,0.0,0.05,9.951783463924746
263,560.2245999999997,0.18333333333333332,0.0,0.05,9.672633742031298
264,527.9254999999999,0.2,0.0,0.05,9.670612792446189
265,487.7217999999999,0.2,0.0,0.05,9.681404294194403
266,565.9677999999996,0.18333333333333332,0.0,0.05,9.900849063222001
267,436.15129999999976,0.18333333333333332,0.0,0.05,9.96169376373291
268,527.3641999999999,0.2,0.0,0.05,9.871447456510444
269,438.11629999999997,0.18333333333333332,0.0,0.05,9.755982301321374
